,date,Italy,US,Spain,Germany,"Korea, South",Italy_fitted,US_fitted,Spain_fitted,Germany_fitted,"Korea, South_fitted"
33,2020-03-30,101739,161831,87956,66885,9661,69621.00086636703,13181.125309131638,29008.026029907654,28296.551154961333,10515.708925767818
34,2020-03-31,105792,188172,95923,71808,9786,78361.66547635068,14553.385566099332,35918.03614066686,34153.486939474766,10808.504646386455
35,2020-04-01,110574,213242,104118,77872,9887,87695.49527989018,15891.205651677876,44231.27693576124,40994.80644344275,11072.764361810194
36,2020-04-02,115242,243622,112065,84794,9976,97528.65949203886,17145.9724028938,54108.63754904545,48885.3202782261,11305.353444358445
37,2020-04-03,119827,275367,119199,91159,10062,107732.17953900415,18266.506195893617,65667.65189102988,57849.64417585752,11503.470473914631
38,2020-04-04,124632,308650,126168,96092,10156,118142.50697955917,19203.140887381367,78949.34522763282,67853.70417820723,11664.719327746858
39,2020-04-05,128948,336802,131646,100123,10237,128565.14078694483,19912.25350856092,93880.31351020359,78786.17697227061,11787.171555548732
40,2020-04-06,132547,366317,136675,103374,10284,138781.5222604877,20360.57100070391,110236.1931621446,90443.53732156084,11869.416314983526
41,2020-04-07,135586,397121,141942,107663,10331,148558.99550902875,20528.530384481714,127616.16325537801,102523.40354884574,11910.595647391878
42,2020-04-08,139422,428654,148220,113296,10384,157663.1184275078,20412.108414910563,145439.93965435686,114630.84810000037,11910.423455924747
43,2020-04-09,143626,462780,153222,118181,10423,165871.1538979456,20022.82703327825,162976.77997322593,126300.66530476481,11869.187518137469
44,2020-04-10,147577,496535,158273,122171,10450,172985.28691724737,19386.005232893804,179409.0991602356,137035.19603304917,11787.734688436412
45,2020-04-11,152271,526396,163027,124908,10480,178844.0847315403,18537.65106572579,193922.765237748,146352.95225794558,11667.440273015496
46,2020-04-12,156363,555313,166831,127854,10512,183330.95731524902,17520.59126162181,205806.01617851655,153839.55559266254,11510.163372891304
47,2020-04-13,159516,580619,170099,130072,10537,186378.83009638393,16380.474963256158,214534.35965813498,159191.0355235483,11318.190442037665
48,2020-04-14,162488,607670,172541,131359,10564,187970.8114001825,15162.190908443908,219822.56372557158,162241.17574453162,11094.16983545025
49,2020-04-15,165155,636350,177644,134753,10591,188137.18171052952,13907.051134988076,221635.23070124135,162968.76495771602,10841.04036436263
50,2020-04-16,168941,667592,184948,137698,10613,186949.45132146735,12650.893329650802,220159.60960836778,161485.62453459323,10561.956894213012
51,2020-04-17,172434,699706,190839,141397,10635,184512.46491471943,11423.081510577264,215752.98541267833,158010.3397746101,10260.215691261988
52,2020-04-18,175925,732197,191726,143342,10653,180955.57736620397,10246.2667551505,208879.84598820645,152834.53471518966,9939.183065082372
53,2020-04-19,178972,758809,198674,145184,10661,176423.81439171382,9136.71615244625,200051.843703945,146288.31412645878,9602.227459116923
54,2020-04-20,181228,784326,200210,147065,10674,171069.71925312068,8105.009676865212,189778.74527819766,138709.79177327454,9252.659113754542
55,2020-04-21,183957,811865,204178,148291,10683,165046.35007653543,7156.929111004765,178533.64233587845,130421.44926809169,8893.676942680991
56,2020-04-22,187327,840351,208389,150648,10694,158501.66424351672,6294.402620263763,166732.02972433716,121714.09165936807,8528.32405230403
57,2020-04-23,189973,869170,213024,153129,10708,151574.3345124033,5516.410378857023,154722.3202519788,112837.79947860738,8159.452094552231
58,2020-04-24,192994,905358,219764,154999,10718,144390.90837249302,4819.794701803287,142784.68470283883,103998.54108148986,7789.6942852300635
